code,name,type,icao_state,country,iso2,eurocontrol_member,eurocontrol_entry,fab,min_fl,max_fl,airac_cfmu,source_features
KZOBUIR,CLEVELAND,UIR,KZ,,,false,,,180,999,524,1
KZSEFIR,SEATTLE,FIR,KZ,,,false,,,0,180,524,1
KZSEUIR,SEATTLE,UIR,KZ,,,false,,,180,999,524,1
KZTLFIR,ATLANTA FIR,FIR,KZ,,,false,,,0,180,524,1
KZTLUIR,ATLANTA,UIR,KZ,,,false,,,180,999,524,1
KZWYFIR,NEW YORK OCEANIC,FIR,KZ,,,false,,,0,999,524,1
LAAAFIR,TIRANA FIR,FIR,LA,Albania,AL,true,2002-04-01,bluemed,0,999,524,1
LBSRFIR,SOFIA FIR,FIR,LB,Bulgaria,BG,true,1997-06-01,danube,0,999,524,1
LCCCFIR,NICOSIA FIR,FIR,LC,Cyprus,CY,true,1991-01-01,bluemed,0,999,524,1
LDZOFIR,ZAGREB FIR,FIR,LD,Croatia,HR,true,1997-03-01,fabce,0,999,524,1
LECBFIR,BARCELONA FIR,FIR,LE,Spain,ES,true,1997-01-01,swfab,0,195,524,1
LECBUIR,BARCELONA UIR,UIR,LE,Spain,ES,true,1997-01-01,swfab,195,999,524,1
LECMFIR,MADRID FIR,FIR,LE,Spain,ES,true,1997-01-01,swfab,0,195,524,1
LECMUIR,MADRID UIR,UIR,LE,Spain,ES,true,1997-01-01,swfab,195,999,524,1
LFBBFIR,BORDEAUX FIR,FIR,LF,France,FR,true,1960-12-13,fabec,0,195,524,1
LFEEFIR,REIMS FIR,FIR,LF,France,FR,true,1960-12-13,fabec,0,195,524,1
LFFFFIR,PARIS FIR,FIR,LF,France,FR,true,1960-12-13,fabec,0,195,524,1
LFFFUIR,FRANCE UIR,UIR,LF,France,FR,true,1960-12-13,fabec,195,999,524,1
LFMMFIR,MARSEILLE FIR,FIR,LF,France,FR,true,1960-12-13,fabec,0,195,524,1
LFRRFIR,BREST FIR,FIR,LF,France,FR,true,1960-12-13,fabec,0,195,524,1
LGGGFIR,ATHINAI FIR,FIR,LG,Greece,GR,true,1988-09-01,bluemed,0,245,524,1
LGGGUIR,ATHINAI UIR,UIR,LG,Greece,GR,true,1988-09-01,bluemed,245,999,524,1
LHCCFIR,BUDAPEST FIR,FIR,LH,Hungary,HU,true,1992-07-01,fabce,0,999,524,1
LIBBFIR,BRINDISI FIR,FIR,LI,Italy,IT,true,1996-04-01,bluemed,0,195,524,1
LIBBUIR,BRINDISI UIR,UIR,LI,Italy,IT,true,1996-04-01,bluemed,195,999,524,1
LIMMFIR,MILANO FIR,FIR,LI,Italy,IT,true,1996-04-01,bluemed,0,195,524,1
LIMMUIR,MILANO UIR,UIR,LI,Italy,IT,true,1996-04-01,bluemed,195,999,524,1
LIRRFIR,ROMA FIR,FIR,LI,Italy,IT,true,1996-04-01,bluemed,0,195,524,1
LIRRUIR,ROMA UIR,UIR,LI,Italy,IT,true,1996-04-01,bluemed,195,999,524,1
